Column1,sys_exec_out_time,pfix_state_trans_position0,pfix_state_trans_position1,pfix_state_trans_position2,pfix_state_trans_velocity0,pfix_state_trans_velocity1,pfix_state_trans_velocity2
456,25887,-6395100,279500,2516500,2802.4,781.32,7034.8
457,25944,-6223500,323280,2910700,3241.3,760.36,6846
458,26001,-6027400,365780,3293300,3667.4,736.39,6630.2
459,26057,-5807400,406830,3663000,4079,709.52,6388.2
460,26114,-5564500,446280,4018200,4474.6,679.84,6121.1
461,26171,-5299700,483970,4357500,4852.5,647.49,5829.8
462,26228,-5013900,519740,4679600,5211.1,612.57,5515.4
463,26284,-4708300,553460,4983200,5549.2,575.24,5179.3
464,26341,-4384200,585010,5267200,5865.5,535.64,4822.8
465,26398,-4042900,614250,5530500,6158.7,493.94,4447.2
466,26455,-3685500,641070,5772000,6427.6,450.28,4054.1
467,26511,-3313600,665360,5990600,6671.1,404.84,3645
468,26568,-2928600,687010,6185600,6888.2,357.8,3221.5
469,26625,-2532000,705920,6355900,7077.8,309.34,2785.2
470,26682,-2125400,722030,6500900,7239.4,259.67,2337.9
471,26739,-1710400,735300,6620400,7372.4,208.96,1881.4
472,26795,-1288700,745700,6714000,7476.6,157.44,1417.6
473,26852,-861940,753180,6781300,7551.6,105.31,948.15
474,26909,-431820,757700,6822100,7597,52.758,475.01
475,26966,7,759240,6836000,7612.5,-0.000961,-0.008656
476,27022,431880,757760,6822600,7597.6,-52.765,-475.08
477,27079,861880,753210,6781600,7552,-105.3,-948.09
478,27136,1288300,745640,6713500,7476,-157.4,-1417.2
479,27193,1709600,735120,6618700,7370.6,-208.87,-1880.6
480,27249,2124300,721720,6498100,7236.3,-259.53,-2336.7
481,27306,2530600,705520,6352300,7073.8,-309.18,-2783.7
482,27363,2927200,686590,6181800,6884,-357.63,-3220
483,27420,3312400,665000,5987500,6667.6,-404.69,-3643.7
484,27477,3684700,640830,5769800,6425.2,-450.18,-4053.2
485,27533,4042500,614140,5529500,6157.6,-493.89,-4446.8
486,27590,4384300,585010,5267200,5865.5,-535.65,-4822.8
487,27647,4708500,553510,4983600,5549.7,-575.25,-5179.4
488,27704,5013900,519790,4680000,5211.6,-612.57,-5515.4
489,27760,5299600,484000,4357800,4852.8,-647.48,-5829.6
490,27817,5564400,446300,4018300,4474.7,-679.83,-6121
491,27874,5807400,406840,3663000,4079.1,-709.51,-6388.2
492,27931,6027400,365770,3293300,3667.4,-736.39,-6630.2
493,27987,6223500,323270,2910600,3241.3,-760.36,-6846
494,28044,6395100,279500,2516500,2802.4,-781.32,-7034.8
495,28101,6541500,234620,2112500,2352.4,-799.21,-7195.8
496,28158,6662000,188820,1700100,1893.2,-813.93,-7328.4
497,28215,6756300,142270,1281000,1426.5,-825.45,-7432.1
498,28271,6823900,95160,856790,954.11,-833.71,-7506.4
499,28328,6864600,47674,429240,478,-838.68,-7551.2
500,28385,6878100,0,0,-5.6843,-840.33,-7566.1
